,Countries,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
51,Germany,136.2214036,134.6719188,129.5153528,129.7674053,133.9133919,129.3371159,124.3961523,123.8370166,124.535828,118.389953,117.694387,117.4354811,117.8627615,120.2348572,122.0574043,130.1440053,129.021198
52,Ghana,6.665112042,7.734162134,10.46804874,9.213633364,12.95128602,11.76190697,12.02190318,12.57922854,14.48654984,15.58374145,16.99166878,16.59621864,15.19856024,12.83412225,13.09233131,12.18250646,10.25154108
53,Greece,87.13663122,94.13583676,103.041624,114.7277744,118.1522524,129.6184255,133.1295375,135.2174582,133.4031932,132.3596786,129.0640645,127.1149724,120.6339067,119.2032658,110.5386085,125.456371,121.0665646
54,Grenada,57.966498,64.87672874,68.79338036,70.076901,79.37726897,83.97993986,84.87602087,82.80481368,74.25666023,65.20633553,57.32142857,53.72278409,51.06690575,50.64570309,49.54706523,59.32010748,57.61169377
55,Guatemala,29.88732683,32.7913186,35.97087297,35.78507879,35.28422474,34.24225197,35.79861926,37.78335906,37.9061774,39.51580529,42.13048734,42.01243669,41.50878701,41.89616003,40.28991605,41.86836508,41.53415597
56,Guinea,2.886890838,3.764727849,2.799936327,2.766378765,2.627276287,3.926189963,6.795571629,5.619879125,6.694305501,9.131694097,10.77525128,9.564867959,8.809450996,9.252039064,9.866198311,9.697464866,8.924638372
57,Guinea-Bissau,1.224092448,1.911004001,2.963487354,4.859768361,4.112294359,6.057211071,8.16107664,11.72113345,11.4153926,12.90109963,7.33429242,6.577189815,11.2808236,13.38101427,13.80057841,14.7485053,14.7818888
58,Guyana,20.08087625,20.8276691,20.19220491,21.11075326,21.83778404,22.89013668,23.52621421,23.13408711,25.81972902,28.44936916,28.98724439,28.18071503,27.1667541,27.86749881,27.74089078,26.91833638,20.85076844
59,Haiti,8.272906115,7.995419494,7.270853163,8.088128434,7.749323253,7.268342344,8.026720725,10.31472354,10.27611,10.86010049,10.22691753,9.996235587,9.406423457,10.71774888,10.09113722,8.159546999,8.010298922
60,Honduras,37.52969351,43.36302811,50.88104757,49.87298999,48.8383752,46.22787814,46.46276711,50.4610349,53.94634711,54.30144173,53.81001161,56.31073368,56.2641691,60.7553019,61.84719973,67.03554932,64.27330635
61,Hong Kong SAR,173.7876604,176.1266822,187.0144346,191.8901333,194.3226588,224.614205,237.180358,238.1825465,263.7371657,283.4166296,297.1060927,306.1091352,343.2024082,334.9593307,349.2555477,383.6060213,368.1213807
