,Countries,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
128,Singapore,143.7771186,134.4125224,138.6620198,155.8200726,155.9091979,147.2692069,160.6515564,174.9933902,190.81753,200.7016455,203.6186122,202.1847267,201.6647686,197.9627729,209.92234,233.7004161,219.8591587
129,Slovak Republic,49.05676074,52.24639558,61.02125598,65.23080422,70.25521253,67.71700678,72.10491192,75.46036104,79.38378249,84.44938286,85.08728448,94.27692923,96.85681093,96.42100367,97.4566179,101.7292703,102.1463593
130,Slovenia,83.99510882,89.53521257,104.1897729,114.7190428,123.8149878,124.9508441,124.6809108,123.6963256,117.6376998,107.1602235,95.44277603,88.02468647,82.49227529,78.43047499,74.7057163,75.50945756,72.52131374
131,Solomon Islands,11.50561888,15.98472293,21.19915858,23.4832738,20.56976928,17.02703117,15.16291932,14.51752954,15.51131936,17.22605115,19.12985304,20.24318719,20.35541346,19.10171338,19.64667313,20.67741948,19.78464884
132,South Africa,62.55846489,71.43075845,76.14570722,78.58020524,74.96139364,72.21287513,70.75722104,73.01741119,73.48216979,73.23880051,75.82381713,74.0064775,72.82520488,72.20004824,72.6215761,73.31350699,66.2370446
133,"South Sudan, Republic of",no data,no data,no data,no data,no data,no data,0.429444581,1.174500133,1.29046018,1.487194331,1.71507521,1.653726799,1.220417097,1.01915684,1.43119167,1.35401456,1.589805432
134,Spain,173.6439149,194.790217,209.2833454,214.2047027,222.7952639,224.026833,219.6108532,211.5298337,202.0764484,189.8586263,177.8841674,169.2233175,159.8956679,154.3208902,149.994656,170.3381084,162.4068617
135,Sri Lanka,27.83501592,28.40201529,28.3685087,24.80076766,21.20185772,23.9778813,32.4400804,33.28613333,32.27907971,33.69303278,43.33601618,46.40758801,50.21502164,53.42732236,55.98327176,no data,no data
136,Sudan,3.021798961,10.40701412,9.746282579,9.303151263,11.47948323,10.36367375,9.05760092,11.70497896,10.33299552,8.00028403,8.079613433,6.890352013,8.045672358,8.916154166,8.74206136,6.150991571,5.897457339
137,Sweden,167.1205714,141.1422996,161.623846,188.0535822,201.2122112,189.3179419,192.8883113,195.8923466,210.1282846,202.6368675,211.5871488,211.3066703,217.1628512,215.6053075,225.7763011,239.8613844,247.7141487
138,Switzerland,192.1889933,189.6491013,197.2758957,194.5576348,210.2077075,210.2023593,216.975763,224.4676973,225.0779654,229.1458093,233.3414198,240.3556596,250.1501863,242.8000215,260.743745,271.0171453,275.1013148
139,São Tomé and Príncipe,23.5763669,26.98034423,30.35978853,26.43532831,34.09990764,35.62092419,37.43800794,35.55736484,30.01225956,24.60474846,23.724824,22.62846164,21.67283507,19.87048294,18.80522949,17.22816649,no data
140,Tajikistan,6.370871572,7.25390602,12.04487033,13.29793536,12.19623019,12.05166467,13.00906132,11.46416969,16.1051675,19.39998349,20.49665109,15.33697656,10.05130305,9.277172077,9.064908743,10.06319002,9.591824238
141,Tanzania,7.954183676,9.19196355,11.10261896,11.72282292,11.03840728,11.54747496,12.27832362,12.65306432,12.41681498,13.16942889,14.40099282,13.51602967,12.93536933,12.62194527,12.47096633,12.56667385,no data
142,Thailand,135.3720202,129.5517106,124.2942913,128.4467312,132.5307519,129.6803568,140.5503769,145.7097084,151.8217276,155.9027215,159.32122,156.8298731,153.2475751,154.2886324,154.6025194,176.3756491,179.6072359
143,Timor-Leste,22.87464461,24.45759448,18.30398959,15.21827355,13.54845039,12.04103198,12.16616132,13.05001858,12.65788859,12.77683238,12.92347465,12.27424754,15.75904268,15.42624321,15.13258459,17.978492,17.76699561
144,Togo,10.46230595,11.48599179,16.56123955,13.72753678,14.39708916,15.89291982,20.5808951,22.45994431,27.90030159,26.17622752,29.55187816,30.43506269,29.41527457,27.36594112,26.5598064,26.41528822,26.42555944
145,Tonga,52.69367793,48.13009508,54.9942605,52.17462784,47.81194286,39.65572777,32.81658612,30.56454397,30.61808221,31.38000132,33.85832966,37.20347638,37.8140883,39.46069367,37.41828914,39.14089976,39.86411607
146,Trinidad and Tobago,43.35416696,46.56343547,46.55559855,40.16663737,59.86468627,52.05043121,46.49915123,46.27594936,39.87214722,46.37745067,52.20810567,61.57033629,64.20196821,63.10646703,59.44443821,66.46254561,63.60878382
147,"Türkiye, Republic of",29.02767664,35.73502673,40.5289023,47.28766762,48.85218513,55.68850548,60.95925182,62.47799623,71.33728901,74.44714698,79.22617469,84.40768399,83.75919199,82.46646122,79.63706896,88.9974651,88.98853754
148,Uganda,6.128868207,7.040995853,7.08866447,8.755886911,8.126640725,10.10381656,10.59116095,10.68094529,10.61345908,11.23890859,12.20710551,12.02677189,11.70835737,11.75376562,11.9785149,12.83800564,12.85368555
149,Ukraine,47.50347632,62.6460027,78.8047984,105.3860121,110.1845181,97.69016297,91.10599937,91.2521289,95.7376915,118.2276486,107.5414326,94.92847256,77.2439899,66.11493578,53.9070211,55.83706833,44.5451506
150,United Arab Emirates,55.43799247,66.0816526,79.90915609,91.32510317,117.1972898,104.9402488,86.5116816,80.81299843,81.66294083,86.18447945,104.3670763,109.7552058,106.7131968,102.3353204,105.3233036,122.7769109,105.2305095
151,United Kingdom,165.5165269,171.8831303,175.5950195,185.7127309,185.4356119,177.7091481,172.8659145,173.6690572,166.821775,158.6469079,155.9874577,159.4354069,161.5882656,156.3278728,154.7845215,169.0918493,157.8034867
152,United States,155.7051046,162.3398188,169.2142253,168.8161356,167.5234579,159.0195346,154.0891907,150.8313979,149.9838659,148.9970044,149.0428031,150.8343898,152.5074533,151.7348,151.5815109,165.1721208,159.1236331
153,Uruguay,23.95603903,23.21331054,24.59464176,27.66431108,21.42051356,25.84268645,22.49392488,23.62138834,28.31069948,29.77735829,32.0883863,31.14960807,29.66115752,30.79087853,29.60435464,32.94440848,33.41964883
154,Vanuatu,42.98087976,41.86424678,43.21541646,54.73878857,64.58381523,67.22767247,68.99912778,73.40434337,72.39700803,74.90147126,71.39495713,67.87669968,63.93439071,61.01484936,56.66111215,59.96319372,59.50219175
155,Venezuela,12.60830431,15.81692337,21.3020275,19.74803181,22.20598031,18.59432766,20.25204323,23.62925118,27.19122072,24.76877414,23.82210876,no data,no data,no data,no data,no data,no data
156,Vietnam,47.62206179,51.47548168,67.44755209,65.26841184,81.37397343,90.35317004,79.94308177,75.54939143,77.55811084,80.00103153,90.39922733,98.85896071,103.9720322,105.7550102,109.3317728,116.6603435,125.5979913
157,Yemen,6.939312159,6.913219608,8.184084966,7.704922009,7.735476025,6.28934065,5.068725811,4.645404088,5.636719541,no data,no data,no data,no data,no data,no data,no data,no data
158,Zambia,6.483073144,8.040360954,9.572418972,12.15614986,9.920979331,9.105573418,9.970395724,11.89138441,11.58687401,13.28646922,15.62865371,12.00545546,11.09915785,11.58576254,12.43281773,12.19712309,8.75028053
159,Zimbabwe,14.94879881,no data,no data,no data,7.159107402,13.54362895,18.98323589,20.14062022,18.7319126,19.21037138,18.31568566,17.09856236,16.8751082,10.99271102,5.929740599,6.452579371,no data
